step,price,action,action_name,q_hold,q_buy,q_sell
309,124.26618957519533,1,BUY,20860.89,20875.502,20864.586
310,124.37943267822266,1,BUY,20864.297,20878.914,20867.994
311,122.49214935302734,1,BUY,20868.959,20883.566,20872.652
312,123.32258605957033,1,BUY,20871.2,20885.812,20874.895
313,123.0111846923828,1,BUY,20876.004,20890.617,20879.703
314,123.2659683227539,1,BUY,20884.496,20899.111,20888.191
315,123.4640884399414,1,BUY,20888.875,20903.48,20892.57
316,124.2190399169922,1,BUY,20886.875,20901.486,20890.57
317,124.7945785522461,1,BUY,20880.281,20894.89,20883.977
318,125.0022201538086,1,BUY,20883.205,20897.818,20886.904
319,124.91729736328124,1,BUY,20888.184,20902.8,20891.88
320,124.84178924560548,1,BUY,20884.186,20898.8,20887.88
321,125.03996276855467,1,BUY,20888.094,20902.703,20891.785
322,124.53038787841795,1,BUY,20882.176,20896.793,20885.871
323,124.59645080566406,1,BUY,20876.135,20890.75,20879.832
324,124.53038787841795,1,BUY,20883.297,20897.914,20886.994
325,124.5776138305664,1,BUY,20880.895,20895.508,20884.59
326,124.03971862792967,1,BUY,20874.51,20889.129,20878.207
327,123.53960418701172,1,BUY,20877.375,20891.988,20881.07
328,123.04891967773438,1,BUY,20872.617,20887.229,20876.316
329,124.0680160522461,1,BUY,20876.344,20890.953,20880.041
330,123.87928771972656,1,BUY,20881.72,20896.328,20885.416
331,124.07746887207033,1,BUY,20904.184,20918.795,20907.875
332,125.11544799804688,1,BUY,20917.07,20931.686,20920.768
333,125.08714294433594,1,BUY,20920.965,20935.574,20924.656
334,126.5969467163086,1,BUY,20922.066,20936.682,20925.764
335,127.51224517822266,1,BUY,20920.545,20935.154,20924.238
336,127.3329849243164,1,BUY,20917.445,20932.059,20921.143
337,128.0972900390625,1,BUY,20908.152,20922.76,20911.842
338,128.3238067626953,1,BUY,20893.611,20908.225,20897.305
339,129.46559143066406,1,BUY,20890.984,20905.598,20894.682
340,129.68255615234375,1,BUY,20890.53,20905.14,20894.223
341,129.26742553710938,1,BUY,20877.748,20892.36,20881.447
342,129.31460571289062,1,BUY,20884.238,20898.846,20887.926
343,129.78634643554688,1,BUY,20880.426,20895.04,20884.121
344,130.06951904296875,1,BUY,20870.451,20885.066,20874.146
345,130.5224609375,1,BUY,20868.988,20883.602,20872.682
346,130.59791564941406,1,BUY,20872.535,20887.15,20876.227
347,130.49412536621094,1,BUY,20876.248,20890.861,20879.943
348,130.78662109375,1,BUY,20886.41,20901.023,20890.105
349,131.20184326171875,1,BUY,20891.209,20905.82,20894.904
350,131.7491455078125,1,BUY,20890.191,20904.805,20893.885
351,128.39926147460938,1,BUY,20881.953,20896.564,20885.645
352,129.52218627929688,1,BUY,20852.713,20867.322,20856.408
353,130.06951904296875,1,BUY,20829.605,20844.219,20833.299
354,131.1641082763672,1,BUY,20812.633,20827.246,20816.328
355,131.29615783691406,1,BUY,20798.66,20813.27,20802.352
356,131.90005493164062,1,BUY,20791.936,20806.55,20795.635
357,133.02304077148438,1,BUY,20781.555,20795.29,20784.371
358,133.25892639160156,0,HOLD,20801.89,20787.021,20801.576
359,133.37216186523438,0,HOLD,20802.889,20788.604,20802.572
360,133.32505798339844,0,HOLD,20798.32,20795.45,20798.002
361,133.843994140625,1,BUY,20802.254,20816.865,20805.95
362,135.37265014648438,1,BUY,20833.176,20847.79,20836.875
363,135.3444061279297,1,BUY,20838.604,20853.21,20842.295
364,134.80648803710938,1,BUY,20859.85,20874.459,20863.541
365,135.33497619628906,1,BUY,20874.008,20888.617,20877.7
366,135.4764862060547,1,BUY,20881.426,20896.043,20885.125
367,132.08883666992188,1,BUY,20889.074,20903.688,20892.771
368,131.38107299804688,1,BUY,20889.451,20904.06,20893.143
369,132.44741821289062,1,BUY,20885.346,20899.957,20889.035
370,131.871826171875,1,BUY,20875.11,20889.72,20878.803
371,131.28680419921875,1,BUY,20888.94,20903.549,20892.633
372,130.71714782714844,1,BUY,20891.852,20906.465,20895.547
373,132.9029083251953,1,BUY,20893.518,20908.137,20897.215
374,131.86204528808594,1,BUY,20889.746,20904.355,20893.44
375,133.16783142089844,1,BUY,20893.217,20907.828,20896.916
376,133.12998962402344,1,BUY,20893.645,20908.254,20897.338
377,133.64093017578125,1,BUY,20868.227,20882.84,20871.924
378,133.0164337158203,1,BUY,20843.77,20858.385,20847.465
379,130.60357666015625,1,BUY,20834.834,20849.443,20838.527
380,132.486572265625,1,BUY,20833.516,20848.123,20837.205
381,130.18727111816406,1,BUY,20813.781,20828.39,20817.48
382,130.23464965820312,1,BUY,20823.984,20824.51,20823.67
383,128.8625946044922,0,HOLD,20854.844,20839.97,20854.527
384,130.13050842285156,0,HOLD,20878.396,20863.531,20878.082
385,128.9572296142578,0,HOLD,20874.037,20859.164,20873.719
386,130.34815979003906,0,HOLD,20842.826,20828.54,20842.506
387,131.19973754882812,1,BUY,20859.53,20874.14,20863.227
388,131.5687713623047,1,BUY,20882.346,20896.959,20886.041
389,133.12998962402344,1,BUY,20898.13,20912.736,20901.824
390,133.4232940673828,1,BUY,20899.34,20913.953,20903.035
391,134.4735565185547,1,BUY,20899.309,20913.916,20903.006
392,134.539794921875,1,BUY,20895.086,20909.697,20898.785
393,135.438720703125,1,BUY,20880.24,20894.852,20883.938
394,136.23342895507812,1,BUY,20857.914,20872.527,20861.611
395,136.41329956054688,1,BUY,20853.357,20867.967,20857.055
396,136.35647583007812,1,BUY,20852.447,20867.06,20856.14
397,136.98097229003906,1,BUY,20841.707,20856.324,20845.406
398,136.6309356689453,1,BUY,20852.104,20866.717,20855.799
399,137.07562255859375,1,BUY,20868.566,20883.178,20872.266
400,136.21458435058594,1,BUY,20866.35,20880.957,20870.043
401,136.10101318359375,1,BUY,20876.158,20890.771,20879.854
402,135.52381896972656,1,BUY,20888.49,20903.098,20892.182
403,135.8361053466797,1,BUY,20896.219,20910.822,20899.91
404,136.20510864257812,1,BUY,20890.59,20905.2,20894.28
405,135.67527770996094,1,BUY,20897.395,20912.004,20901.092
406,135.9212188720703,1,BUY,20904.027,20918.639,20907.723
407,136.78231811523438,1,BUY,20904.953,20919.564,20908.652
408,136.54576110839844,1,BUY,20910.195,20924.809,20913.89
409,136.36595153808594,0,HOLD,21007.922,20952.348,20979.395
410,133.44219970703125,0,HOLD,20944.607,20929.805,20918.887
411,134.45465087890625,0,HOLD,20958.154,20925.76,20929.627
412,136.1861572265625,1,BUY,20915.264,20929.875,20918.959
413,136.28079223632812,1,BUY,20909.459,20924.074,20913.154
414,136.5173797607422,1,BUY,20910.066,20924.682,20913.764
415,133.72605895996094,1,BUY,20895.145,20909.754,20898.84
416,133.63143920898438,1,BUY,20895.066,20909.684,20898.764
417,133.46115112304688,1,BUY,20899.42,20914.031,20903.11
418,135.49551391601562,1,BUY,20889.89,20904.498,20893.582
419,135.0128936767578,1,BUY,20893.377,20907.992,20897.076
420,134.61549377441406,1,BUY,20884.412,20899.021,20888.107
421,134.33160400390625,1,BUY,20898.117,20912.727,20901.81
422,134.7479705810547,1,BUY,20896.41,20911.02,20900.105
423,135.27780151367188,1,BUY,20898.38,20912.996,20902.078
424,136.8673858642578,1,BUY,20890.088,20904.703,20893.785
425,138.33404541015625,1,BUY,20890.896,20905.51,20894.592
426,138.144775390625,1,BUY,20886.932,20901.545,20890.623
427,136.90530395507812,1,BUY,20877.914,20892.527,20881.61
428,137.3216552734375,1,BUY,20874.48,20889.092,20878.176
429,137.643310546875,1,BUY,20872.54,20887.152,20876.232
430,136.4511260986328,1,BUY,20879.414,20894.027,20883.113
431,138.0218048095703,1,BUY,20878.494,20893.107,20882.188
432,138.3529815673828,1,BUY,20874.697,20889.31,20878.395
433,138.542236328125,1,BUY,20873.406,20888.02,20877.102
434,137.7284698486328,1,BUY,20878.332,20892.95,20882.031
435,138.2015838623047,1,BUY,20871.266,20885.877,20874.959
436,138.0204620361328,1,BUY,20868.484,20883.098,20872.184
437,138.25753784179688,1,BUY,20859.668,20874.281,20863.367
438,137.83079528808594,1,BUY,20853.975,20868.588,20857.672
439,136.98687744140625,1,BUY,20856.096,20870.705,20859.793
440,136.85409545898438,1,BUY,20842.623,20857.236,20846.322
