Date,Action,Action_Name,group
2023-11-28,2,SELL,160
2023-11-29,2,SELL,160
2023-11-30,2,SELL,160
2023-12-01,2,SELL,160
2023-12-04,2,SELL,160
2023-12-05,2,SELL,160
2023-12-06,2,SELL,160
2023-12-07,2,SELL,160
2023-12-08,2,SELL,160
2023-12-11,2,SELL,160
2023-12-12,2,SELL,160
2023-12-13,2,SELL,160
2023-12-14,2,SELL,160
2023-12-15,0,HOLD,161
2023-12-18,2,SELL,162
2023-12-19,2,SELL,162
2023-12-20,2,SELL,162
2023-12-21,2,SELL,162
2023-12-22,2,SELL,162
2023-12-26,2,SELL,162
2023-12-27,2,SELL,162
2023-12-28,2,SELL,162
2023-12-29,2,SELL,162
2024-01-02,2,SELL,162
2024-01-03,0,HOLD,163
2024-01-04,2,SELL,164
2024-01-05,2,SELL,164
2024-01-08,0,HOLD,165
2024-01-09,2,SELL,166
2024-01-10,2,SELL,166
2024-01-11,0,HOLD,167
2024-01-12,0,HOLD,167
2024-01-16,0,HOLD,167
2024-01-17,2,SELL,168
2024-01-18,0,HOLD,169
2024-01-19,2,SELL,170
2024-01-22,0,HOLD,171
2024-01-23,0,HOLD,171
2024-01-24,0,HOLD,171
2024-01-25,2,SELL,172
2024-01-26,2,SELL,172
2024-01-29,2,SELL,172
2024-01-30,0,HOLD,173
2024-01-31,2,SELL,174
2024-02-01,2,SELL,174
2024-02-02,2,SELL,174
2024-02-05,2,SELL,174
2024-02-06,2,SELL,174
2024-02-07,2,SELL,174
2024-02-08,2,SELL,174
2024-02-09,0,HOLD,175
2024-02-12,2,SELL,176
2024-02-13,0,HOLD,177
2024-02-14,0,HOLD,177
2024-02-15,2,SELL,178
2024-02-16,2,SELL,178
2024-02-20,2,SELL,178
2024-02-21,0,HOLD,179
2024-02-22,2,SELL,180
2024-02-23,2,SELL,180
2024-02-26,2,SELL,180
2024-02-27,1,BUY,181
2024-02-28,0,HOLD,182
2024-02-29,1,BUY,183
2024-03-01,0,HOLD,184
2024-03-04,1,BUY,185
2024-03-05,2,SELL,186
2024-03-06,0,HOLD,187
2024-03-07,1,BUY,188
2024-03-08,0,HOLD,189
2024-03-11,1,BUY,190
2024-03-12,1,BUY,190
2024-03-13,0,HOLD,191
2024-03-14,1,BUY,192
2024-03-15,0,HOLD,193
2024-03-18,0,HOLD,193
2024-03-19,0,HOLD,193
2024-03-20,0,HOLD,193
2024-03-21,0,HOLD,193
2024-03-22,0,HOLD,193
2024-03-25,0,HOLD,193
2024-03-26,0,HOLD,193
2024-03-27,0,HOLD,193
2024-03-28,0,HOLD,193
